United States,999,317631125
Alabama,999,4834455
Alaska,999,714617
Arizona,999,6711844
Arkansas,999,2959597
California,999,38649435
Colorado,999,5319728
Connecticut,999,3589082
Delaware,999,931729
District of Columbia,999,655510
Florida,999,19823803
Georgia,999,10031414
Hawaii,999,1372348
Idaho,999,1630236
Illinois,999,12853463
Indiana,999,6593783
Iowa,999,3105573
Kansas,999,2881261
Kentucky,999,4394020
Louisiana,999,4630784
Maine,999,1328700
Maryland,999,5947280
Massachusetts,999,6739788
Michigan,999,9905670
Minnesota,999,5454343
Mississippi,999,2978985
Missouri,999,6045759
Montana,999,1019749
Nebraska,999,1874773
Nevada,999,2827183
New Hampshire,999,1325422
New Jersey,999,8928508
New Mexico,999,2072862
New York,999,19720081
North Carolina,999,9837634
North Dakota,999,732431
Ohio,999,11584339
Oklahoma,999,3857974
Oregon,999,3967379
Pennsylvania,999,12780269
Rhode Island,999,1051133
South Carolina,999,4790211
South Dakota,999,849611
Tennessee,999,6527724
Texas,999,26832262
Utah,999,2937638
Vermont,999,626000
Virginia,999,8211651
Washington,999,7008603
West Virginia,999,1849064
Wisconsin,999,5754380
Wyoming,999,581037
