Rhode Island,30-40,124557
Rhode Island,40-50,137343
Rhode Island,50-60,156855
Rhode Island,60-70,117581
Rhode Island,70-80,63621
South Carolina,0-10,598730
South Carolina,10-20,610535
South Carolina,20-30,650805
South Carolina,30-40,585132
South Carolina,40-50,614699
South Carolina,50-60,664904
South Carolina,60-70,574320
South Carolina,70-80,325108
South Dakota,0-10,120758
South Dakota,10-20,113499
South Dakota,20-30,115615
South Dakota,30-40,104037
South Dakota,40-50,94765
South Dakota,50-60,117687
South Dakota,60-70,93500
South Dakota,70-80,51084
Tennessee,0-10,818117
Tennessee,10-20,841063
Tennessee,20-30,887337
Tennessee,30-40,825728
Tennessee,40-50,863061
Tennessee,50-60,911383
Tennessee,60-70,735577
Tennessee,70-80,417259
Texas,0-10,3967059
Texas,10-20,3886800
Texas,20-30,3904339
Texas,30-40,3733270
Texas,40-50,3516612
Texas,50-60,3382155
Texas,60-70,2418793
Texas,70-80,1287826
Utah,0-10,514327
Utah,10-20,475491
Utah,20-30,459229
Utah,30-40,435174
Utah,40-50,326053
Utah,50-60,304708
Utah,60-70,227061
Utah,70-80,124151
Vermont,0-10,63299
Vermont,10-20,79458
Vermont,20-30,81899
Vermont,30-40,70131
Vermont,40-50,79210
Vermont,50-60,100332
Vermont,60-70,82300
Vermont,70-80,42537
Virginia,0-10,1034653
Virginia,10-20,1054911
Virginia,20-30,1144623
Virginia,30-40,1080456
Virginia,40-50,1103646
Virginia,50-60,1170352
Virginia,60-70,872955
Virginia,70-80,475867
Washington,0-10,896230
Washington,10-20,876755
Washington,20-30,981198
Washington,30-40,950786
Washington,40-50,907344
Washington,50-60,973998
Washington,60-70,779324
Washington,70-80,400773
West Virginia,0-10,207356
West Virginia,10-20,218512
West Virginia,20-30,232261
West Virginia,30-40,221922
West Virginia,40-50,237875
West Virginia,50-60,271133
West Virginia,60-70,242721
West Virginia,70-80,138332
Wisconsin,0-10,704171
Wisconsin,10-20,753686
Wisconsin,20-30,761702
Wisconsin,30-40,713576
Wisconsin,40-50,729712
Wisconsin,50-60,854536
Wisconsin,60-70,642887
Wisconsin,70-80,352396
Wyoming,0-10,78417
Wyoming,10-20,74628
Wyoming,20-30,82271
Wyoming,30-40,76447
Wyoming,40-50,66326
Wyoming,50-60,83489
Wyoming,60-70,66530
Wyoming,70-80,33168
