United States,0-10,40396449
United States,10-20,41670613
United States,20-30,44260108
United States,30-40,41098701
United States,40-50,41334837
United States,50-60,44061580
United States,60-70,33890892
United States,70-80,18995348
Alabama,0-10,601755
Alabama,10-20,631585
Alabama,20-30,664051
Alabama,30-40,598567
Alabama,40-50,620891
Alabama,50-60,679497
Alabama,60-70,545166
Alabama,70-80,318097
Alaska,0-10,106641
Alaska,10-20,98170
Alaska,20-30,112334
Alaska,30-40,95220
Alaska,40-50,87654
Alaska,50-60,103139
Alaska,60-70,71061
Alaska,70-80,27906
Arizona,0-10,892597
Arizona,10-20,910898
Arizona,20-30,930951
Arizona,30-40,854710
Arizona,40-50,826240
Arizona,50-60,846898
Arizona,60-70,730438
Arizona,70-80,463338
Arkansas,0-10,390504
Arkansas,10-20,393137
Arkansas,20-30,399517
Arkansas,30-40,371636
Arkansas,40-50,365742
Arkansas,50-60,397962
Arkansas,60-70,328313
Arkansas,70-80,200014
California,0-10,5069597
California,10-20,5138937
California,20-30,5757584
California,30-40,5331232
California,40-50,5180916
California,50-60,5113012
California,60-70,3729317
California,70-80,2017154
Colorado,0-10,689922
Colorado,10-20,695664
Colorado,20-30,765266
Colorado,30-40,747592
Colorado,40-50,699923
Colorado,50-60,729575
Colorado,60-70,558000
Colorado,70-80,274026
Connecticut,0-10,399603
Connecticut,10-20,481436
Connecticut,20-30,461450
Connecticut,30-40,425973
Connecticut,40-50,492465
Connecticut,50-60,553581
Connecticut,60-70,395754
Connecticut,70-80,217363
Delaware,0-10,112860
Delaware,10-20,117017
Delaware,20-30,126370
Delaware,30-40,111537
Delaware,40-50,118172
Delaware,50-60,133591
Delaware,60-70,110625
Delaware,70-80,64951
District of Columbia,0-10,73982
District of Columbia,10-20,63291
District of Columbia,20-30,135101
District of Columbia,30-40,121661
District of Columbia,40-50,78872
District of Columbia,50-60,75490
District of Columbia,60-70,57591
District of Columbia,70-80,29332
Florida,0-10,2210461
Florida,10-20,2305504
Florida,20-30,2578434
Florida,30-40,2377737
Florida,40-50,2557576
Florida,50-60,2776808
Florida,60-70,2383795
Florida,70-80,1612786
Georgia,0-10,1367218
Georgia,10-20,1400478
Georgia,20-30,1402687
Georgia,30-40,1331402
Georgia,40-50,1393737
Georgia,50-60,1343255
Georgia,60-70,994250
Georgia,70-80,526969
Hawaii,0-10,177763
Hawaii,10-20,161293
Hawaii,20-30,189671
Hawaii,30-40,176598
Hawaii,40-50,167549
Hawaii,50-60,184262
Hawaii,60-70,161664
Hawaii,70-80,87675
Idaho,0-10,237585
Idaho,10-20,237134
Idaho,20-30,217287
Idaho,30-40,208990
Idaho,40-50,191784
Idaho,50-60,208668
Idaho,60-70,175424
Idaho,70-80,98667
Illinois,0-10,1619011
Illinois,10-20,1709020
Illinois,20-30,1779287
Illinois,30-40,1722579
Illinois,40-50,1696571
Illinois,50-60,1798410
Illinois,60-70,1321783
Illinois,70-80,725481
Indiana,0-10,860046
Indiana,10-20,905515
Indiana,20-30,906645
Indiana,30-40,826666
Indiana,40-50,842698
Indiana,50-60,921528
Indiana,60-70,700460
Indiana,70-80,386422
Iowa,0-10,400589
Iowa,10-20,415808
Iowa,20-30,420886
Iowa,30-40,383096
Iowa,40-50,368612
Iowa,50-60,433842
Iowa,60-70,341093
Iowa,70-80,196479
Kansas,0-10,403862
Kansas,10-20,399834
Kansas,20-30,399746
Kansas,30-40,364552
Kansas,40-50,337402
Kansas,50-60,392451
Kansas,60-70,299296
Kansas,70-80,165012
Kentucky,0-10,558213
Kentucky,10-20,567392
Kentucky,20-30,587111
Kentucky,30-40,554246
Kentucky,40-50,575432
Kentucky,50-60,626667
Kentucky,60-70,494735
Kentucky,70-80,275490
Louisiana,0-10,622504
Louisiana,10-20,607349
Louisiana,20-30,679790
Louisiana,30-40,610580
Louisiana,40-50,566784
Louisiana,50-60,639710
Louisiana,60-70,487594
Louisiana,70-80,264479
Maine,0-10,135960
Maine,10-20,156789
Maine,20-30,156195
Maine,30-40,146931
Maine,40-50,174921
Maine,50-60,216198
Maine,60-70,180555
Maine,70-80,98856
Maryland,0-10,744732
Maryland,10-20,763139
Maryland,20-30,812777
Maryland,30-40,774901
Maryland,40-50,809909
Maryland,50-60,872919
Maryland,60-70,627407
Maryland,70-80,331734
Massachusetts,0-10,742377
Massachusetts,10-20,855311
Massachusetts,20-30,971866
Massachusetts,30-40,850529
Massachusetts,40-50,906984
Massachusetts,50-60,990936
Massachusetts,60-70,736485
Massachusetts,70-80,397463
Michigan,0-10,1175709
Michigan,10-20,1320969
Michigan,20-30,1338193
Michigan,30-40,1156725
Michigan,40-50,1281155
Michigan,50-60,1469219
Michigan,60-70,1138719
Michigan,70-80,624245
Minnesota,0-10,710145
Minnesota,10-20,714837
Minnesota,20-30,729433
Minnesota,30-40,716970
Minnesota,40-50,685975
