0-10,40396449
10-20,41670613
20-30,44260108
30-40,41098701
40-50,41334837
50-60,44061580
60-70,33890892
70-80,18995348
0-10,601755
10-20,631585
20-30,664051
30-40,598567
40-50,620891
50-60,679497
60-70,545166
70-80,318097
0-10,106641
10-20,98170
20-30,112334
30-40,95220
40-50,87654
50-60,103139
60-70,71061
70-80,27906
0-10,892597
10-20,910898
20-30,930951
30-40,854710
40-50,826240
50-60,846898
60-70,730438
70-80,463338
0-10,390504
10-20,393137
20-30,399517
30-40,371636
40-50,365742
50-60,397962
60-70,328313
70-80,200014
0-10,5069597
10-20,5138937
20-30,5757584
30-40,5331232
40-50,5180916
50-60,5113012
60-70,3729317
70-80,2017154
0-10,689922
10-20,695664
20-30,765266
30-40,747592
40-50,699923
50-60,729575
60-70,558000
70-80,274026
0-10,399603
10-20,481436
20-30,461450
30-40,425973
40-50,492465
50-60,553581
60-70,395754
70-80,217363
0-10,112860
10-20,117017
20-30,126370
30-40,111537
40-50,118172
50-60,133591
60-70,110625
70-80,64951
0-10,73982
10-20,63291
20-30,135101
30-40,121661
40-50,78872
50-60,75490
60-70,57591
70-80,29332
0-10,2210461
10-20,2305504
20-30,2578434
30-40,2377737
40-50,2557576
50-60,2776808
60-70,2383795
70-80,1612786
0-10,1367218
10-20,1400478
20-30,1402687
30-40,1331402
40-50,1393737
50-60,1343255
60-70,994250
70-80,526969
0-10,177763
10-20,161293
20-30,189671
30-40,176598
40-50,167549
50-60,184262
60-70,161664
70-80,87675
0-10,237585
10-20,237134
20-30,217287
30-40,208990
40-50,191784
50-60,208668
60-70,175424
70-80,98667
0-10,1619011
10-20,1709020
20-30,1779287
30-40,1722579
40-50,1696571
50-60,1798410
60-70,1321783
70-80,725481
0-10,860046
10-20,905515
20-30,906645
30-40,826666
40-50,842698
50-60,921528
60-70,700460
70-80,386422
0-10,400589
10-20,415808
20-30,420886
30-40,383096
40-50,368612
50-60,433842
60-70,341093
70-80,196479
0-10,403862
10-20,399834
20-30,399746
30-40,364552
40-50,337402
50-60,392451
60-70,299296
70-80,165012
0-10,558213
10-20,567392
20-30,587111
30-40,554246
40-50,575432
50-60,626667
60-70,494735
70-80,275490
0-10,622504
10-20,607349
20-30,679790
30-40,610580
40-50,566784
50-60,639710
60-70,487594
70-80,264479
0-10,135960
10-20,156789
20-30,156195
30-40,146931
40-50,174921
50-60,216198
60-70,180555
70-80,98856
0-10,744732
10-20,763139
20-30,812777
30-40,774901
40-50,809909
50-60,872919
60-70,627407
70-80,331734
0-10,742377
10-20,855311
20-30,971866
30-40,850529
40-50,906984
50-60,990936
60-70,736485
70-80,397463
0-10,1175709
10-20,1320969
20-30,1338193
30-40,1156725
40-50,1281155
50-60,1469219
60-70,1138719
70-80,624245
0-10,710145
10-20,714837
20-30,729433
30-40,716970
40-50,685975
50-60,789687
60-70,577601
70-80,313188
0-10,403649
10-20,410886
20-30,415167
30-40,373633
40-50,369714
50-60,403913
60-70,317645
70-80,182789
0-10,764073
10-20,785299
20-30,827966
30-40,758454
40-50,746416
50-60,865573
60-70,665887
70-80,387641
0-10,125154
10-20,125948
20-30,136114
30-40,123258
40-50,115375
50-60,149908
